name,verdict,board,exactness,est_instances,priority,detection_sound,example,detection
econstat-pointmass-vs-ladder,CONFIRMED,economics-commodities,exact,354,high,True,KXECONSTATU3-26NOV-T3.5|KXU3-26NOV-T3.4|KXU3-26NOV-T3.5,"Pair series KXECONSTAT<STAT>-<PERIOD> (mutually_exclusive=True, strike_type=custom, yes_sub_title 'Exactly v%', custom_strike.Value=v) with the ladder KX<STAT>-<PERIOD> (mutually_exclusive=False, strike_type=greater, yes_sub_title 'Above t%'), same event-period suffix. STAT map: U3->U3, CPIYOY->CPIYOY, CORECPIYOY->CPICOREYOY, CPI->CPI, CPICORE->CPICORE. For each exact Value v, require ladder legs "
spread-implies-moneyline,CONFIRMED,sports,exact,321,high,True,KXLEAGUESCUPSPREAD-26AUG04CINPAC-CIN2|KXLEAGUESCUPGAME-26AUG04CINPAC-CIN|KXUCLWSPREAD-...,"Join by game-key = event_ticker suffix after the series prefix (e.g. 26AUG04CINPAC). For every soccer league carrying both a <LEAGUE>SPREAD series and a <LEAGUE>GAME series, each SPREAD leg ticker <...>-<TEAM><n> (custom_strike.soccer_team = team UUID) implies GAME leg <...>-<TEAM> whose structured strike soccer_team = same UUID. Team identity matched on the soccer_team UUID, not the 3-letter code"
firsthalf-subset-fulltime,CONFIRMED,sports,exact,206,high,True,KXLEAGUESCUP1HTOTAL-26AUG04CINPAC-2|KXLEAGUESCUPTOTAL-26AUG04CINPAC-2|KXLEAGUESCUP1HBTTS-26AUG04CINPAC-BTTS,"Join by game-key. For leagues carrying <LEAGUE>1HTOTAL + <LEAGUE>TOTAL, map 1HTOTAL leg -i (Over (i-0.5)) to TOTAL leg with the same 'Over (i-0.5)' threshold => implication. Likewise <LEAGUE>1HBTTS-BTTS -> <LEAGUE>BTTS-BTTS. Thresholds parsed from yes_sub_title ('Over 1.5 1H goals' vs 'Over 1.5 goals')."
extremum-window-envelope,CONFIRMED,economics-commodities,soft(one-directional-only),120,medium,True,KXHIGHINFLATION-26DEC-T3.9|KXCPIYOY-26NOV-T3.9|KXAAAGASMAX-26DEC31-4.60,"Series whose rule contains 'maximum'/'highest'/'any ... report'/'at any time from Issuance through' (max: KXAAAGASMAX, KXHIGHINFLATION, KXLCPIMAXYOY, KXU3MAX; min: KXAAAGASMIN) paired by identical measured quantity + source with point series inside the window (gas: KXAAAGASD/W/M/ED all 'according to AAA' national avg regular; CPI YoY: KXCPIYOY monthly; U3: KXU3 monthly). Match on shared numeric st"
award-nom-win,CONFIRMED,entertainment-mentions,exact,120,high,True,KXOSCARACTO-27-JOH|KXOSCARNOMACTO-27-JOH|KXOSCARPIC-27-ODY,"Pair a WINNER series with its NOMINEE series for the same ceremony+category, then match legs by entity. Oscar: KXOSCAR<CAT>-<yr> (winner, mutually_exclusive=True/MECNET) vs KXOSCARNOM<CAT>-<yr> (nominee slate, mutually_exclusive=False), CAT in {ACTO,ACTR,PIC,DIR,SUPACTO,SUPACTR,...}. Grammy: KXGRAM<abbr>-<n> vs KXGRAMMYNOM<abbr>-<n> (only AOTY maps cleanly). Match legs across the pair by custom_st"
pres-vp-nominee-mutex,CONFIRMED,elections-politics,exact,80,medium,True,KXPRESNOMD-28-GNEW|KXVPRESNOMD-28-GN|KXPRESNOMR-28-JDV,"For each party P, intersect the person set of KXPRESNOM<P>-28 with KXVPRESNOM<P>-28 by yes_sub_title name; each shared person yields a mutual-exclusion pair. (Similarly a person cannot be presidential nominee of two different parties.)"
teamtotal-implies-total,CONFIRMED,sports,exact,72,medium,True,KXLEAGUESCUPTEAMTOTAL-26AUG04CINPAC-CIN2|KXLEAGUESCUPTOTAL-26AUG04CINPAC-2|KXLEAGUESCUPTEAMTOTAL-26AUG04CINPAC-PAC1,Join by game-key for leagues with <LEAGUE>TEAMTOTAL + <LEAGUE>TOTAL. Map TEAMTOTAL leg <TEAM><n> (yes_sub_title 'Team over k goals') to TOTAL leg with the same 'Over k' threshold => implication (holds for either team).
btts-implies-teamtotal,CONFIRMED,sports,exact,72,medium,True,KXLEAGUESCUPBTTS-26AUG04CINPAC-BTTS|KXLEAGUESCUPTEAMTOTAL-26AUG04CINPAC-CIN1|KXLEAGUESCUPTEAMTOTAL-26AUG04CINPAC-PAC1,Join by game-key for leagues with both <LEAGUE>BTTS and <LEAGUE>TEAMTOTAL. Emit BTTS-BTTS -> TEAMTOTAL-<TEAM>1 (the 0.5 leg) for each of the two teams (team UUIDs from custom_strike.soccer_team).
rank-position-exclusion,CONFIRMED,entertainment-mentions,exact,70,medium,True,KXNETFLIXRANKMOVIE-26AUG03-ATO|KXNETFLIXRANKMOVIERUNNERUP-26AUG03-ATO|KXTOPARTIST-26B-DRA,"Group sibling rank-slot series that reference the SAME chart+date and share entity leg tokens: base + RUNNERUP [+ THIRD], or GLOBAL + GLOBAL2. Confirmed same-chart groups: {KXNETFLIXRANKMOVIE,KXNETFLIXRANKMOVIERUNNERUP}, {KXNETFLIXRANKMOVIEGLOBAL,KXNETFLIXRANKMOVIEGLOBAL2}, {KXNETFLIXRANKSHOW,KXNETFLIXRANKSHOWRUNNERUP}, {KXTOPARTIST,KXTOPARTISTRUNNERUP,KXTOPARTISTTHIRD}, {KXTOPARTISTUSA,KXTOPARTIS"
correct-score-refines-outcome,CONFIRMED,sports,exact,60,high,False,KXLEAGUESCUPSCORE-26AUG04CINPAC-CIN2PAC0|KXLEAGUESCUPGAME-26AUG04CINPAC-CIN|KXLEAGUESCUPTOTAL-26AUG04CINPAC-2,"For each market in <LEAGUE>SCORE (custom_strike has home_score, away_score, home_team_id, away_team_id) compute (h,a) and the team UUIDs, then evaluate the settlement predicate of every other same-game leg in GAME/TOTAL/BTTS/SPREAD/TEAMTOTAL (joined by game-key). Emit an implication edge SCORE-cell -> any coarse leg the cell satisfies."
no-goals-equality,CONFIRMED,sports,exact,60,medium,True,KXLEAGUESCUPSCORE-26AUG04CINPAC-CIN0PAC0|KXLEAGUESCUPTOTAL-26AUG04CINPAC-1|KXLEAGUESCUPFTTS-26AUG04CINPAC-NONE,"Join by game-key. SCORE leg where custom_strike home_score=0 & away_score=0, the TOTAL leg 'Over 0.5' (suffix -1), and FTTS 'No Goal' leg (suffix -NONE). Assert P(SCORE-0-0)=1-P(TOTAL-Over0.5); flag FTTS-NONE as one-directional superset check."
albumunits-domination,CONFIRMED,entertainment-mentions,exact,51,high,True,KXPUREALBUMS-CHU26AUG13-15K|KXALBUMEQUIV-CHU26AUG13-15K|KXPUREALBUMS-FRE26OCT08-30K,"Pair KXPUREALBUMS-<evtok> with KXALBUMEQUIV-<evtok> sharing the same event token (album+tracking-week, e.g. FRE26OCT08). Within a shared event, match legs by threshold value (both use strike_type=greater, suffix like -15K). Every threshold present in both, or any pure-threshold X paired with an equiv-threshold Y<=X, is an instance."
yt-window-nest,CONFIRMED,entertainment-mentions,exact,23,medium,False,KXYTVIEWSW-TAY26AUG09-15.0M|KXYTVIEWSHIGH-TAY26SEP-15.0M|KXYTVIEWSW-YOU26AUG09-8.0M,"'at any point during [period]' YouTube-views markets nest by time containment. Map KXYTVIEWSW-<ART><weekend> (weekly ladder) to KXYTVIEWSHIGH-<ART>26SEP / KXYTVIEWS-<ART>26SEP (monthly). Match by artist token (first 3 chars, e.g. TAY/YOU/MOR) AND identical threshold suffix (e.g. 15.0M). Instance exists when the weekly window is a subset of the monthly window."
crypto-range-ladder-identity,CONFIRMED,financials-crypto,exact,22,high,True,KXBTC-26AUG0717-B51750|KXBTCD-26AUG0717-T51499.99|KXSOLE-26AUG0717 vs KXSOLD-26AUG0717,"Pair a mutually_exclusive=True range-partition event (series KX<COIN>, strike_type in {less,between,custom}) with the mutually_exclusive=False threshold-ladder event (series KX<COIN>D, or KX<COIN>E->KX<COIN>D for SOL) that shares the SAME markets[0].close_time. Confirm rules_primary of both quote the identical index+instant clause ('simple average of the sixty seconds of CF Benchmarks' <COIN> ... "
mlb-player-stat-dominance,CONFIRMED,sports,exact,21,high,True,KXMLBHR-26AUG032140SDAZ-AZCCARROLL7-1|KXMLBHIT-26AUG032140SDAZ-AZCCARROLL7-1|KXMLBTB-26AUG032140SDAZ-AZCCARROLL7-2,"Player node key = (game-key, player-id) parsed from ticker suffix, shared verbatim across KXMLBHR/KXMLBHIT/KXMLBTB/KXMLBRBI/KXMLBHRR (e.g. AZCCARROLL7). For the same (player,game,k) emit edges per the fixed DAG: HR->{HIT,RBI,TB,HRR}, HIT->{TB,HRR}, RBI->HRR."
severity-nested-count,CONFIRMED,science-climate-companies,exact,15,high,True,KXHURCTOTMAJ-26DEC01-T4|KXHURCTOT-26DEC01-T4|KXHURRICANE-26DEC01EPACMAJ-5,"Same count subject with nested category definitions over identical region+window. Scanner: group count-ladder events (strike_type 'greater', 'Above N') whose rules differ only by a severity qualifier — Atlantic KXHURCTOTMAJ ('category 3 or above') vs KXHURCTOT ('category 1 or above'); KXHURRICANE-<basin>MAJ vs KXHURRICANE-<basin>TOT; KXNAMEDSTORM-<basin> vs KXHURRICANE-<basin> ('named storm' super"
chart-rank-equality,CONFIRMED,entertainment-mentions,exact,14,medium,True,KXTOPALBUM-26AUG15-THER|KXBBCHARTPOSITIONALBUM-26AUG15THER-1|KXTOPALBUM-26AUG15-ICE,Match KXTOPALBUM-<date>-<tok> (one-hot #1 series) to the rank-1 leg KXBBCHARTPOSITIONALBUM-<date><tok>-1 (per-album rank partition) by shared custom_strike['album'] UUID and identical date token (26AUG15) and close_time. All 14 chart-position rank-1 legs matched a KXTOPALBUM leg by album UUID.
xe-threshold-nest,CONFIRMED,financials-crypto,exact,4,medium,True,KXBTC2026250-27JAN01-250000|KXBTC2026200-27JAN01-200000|KXSOL26500-27JAN0100-T500,"Group ALL markets across event boundaries by the tuple (underlying asset, resolution timestamp OR resolution window [start,end], quoted source clause), extracted from rules_primary. Within a group, any two markets with strike_type='greater' and floors f1>f2 nest (f1 implies f2); with strike_type='less' the direction reverses. Distinct from L-threshold which is confined to legs inside one event."
control-marginal-sum,CONFIRMED,elections-politics,exact,4,high,True,POWER-28-DH-DS-DP|CONTROLH-2028-D|CONTROLS-2028-D,"POWER-<yy> legs have suffix grammar <RH|DH>-<RS|DS>-<RP|DP> (mutex+exhaustive => sum=$1). Parse the three components; sum legs sharing a component and equate to CONTROLH-20<yy>-<D|R>, CONTROLS-20<yy>-<D|R>, KXPRESPARTY-20<yy>-<D|R>. Also each single leg implies its three component marginals."
stage-precedence,CONFIRMED,science-climate-companies,needs-rule-check,4,medium,True,KXFDAAPPROVALDATENTLA-LONV-27JUL01|KXNEWDRUGAPPNTLA-LONV-26SEP01|KXFDAAPPROVALDATECMPS-360,Pair an approval-deadline ladder series with a submission-deadline ladder series for the SAME drug: KXFDAAPPROVALDATE<SPONSOR>-<DRUG> vs KXNEWDRUGAPP(LICATION)<SPONSOR>-<DRUG>. Scanner matches on sponsor+drug tokens in series/event tickers and rules_primary drug name; approval-before-D leg implies submission-before-D leg (approval is procedurally impossible without a prior filing).
class-membership-subset,CONFIRMED,science-climate-companies,needs-rule-check,2,low,False,KXFDAAPPROVALPSYCHEDELIC-27|KXFDAAPPROVE-MDMA-27JAN01|KXFDAAPPROVALDATECMPS-360,"Aggregator event whose rules say 'approves ANY <class> ... before <date>' paired with member events 'approves <specific drug in class> ... before <date>'. Scanner: detect aggregator markets with 'any <keyword>' in rules, then link member markets whose drug is in that class over the same window. (This is the S-semantic subset mechanism generalized from geography to drug classes via a class-keyword "
fed-decision-vs-nextmeeting-level,CONFIRMED,economics-commodities,needs-rule-check,1,low,True,KXFEDDECISION-26SEP-H0|KXFED-26SEP-T4.00|KXFED-26SEP-T4.25,"Same meeting suffix on KXFEDDECISION-<mtg> (custom menu C26/C25/H0/H25/H26) and KXFED-<mtg> (level ladder, strike_type=greater on upper-bound %). Restrict to the earliest (next) meeting where entering upper bound = current published target range; add that constant to each decision offset to pick the matching adjacent ladder pair."
song-chart-depth,NEEDS-RULE-CHECK,entertainment-mentions,exact,100,high,True,KX1SONG-DEC2626-DRA|KX10SONG-26-DRA|KX20SONG-26DEC26-DRA,"Three sibling series for the same target year/issue-week: KX1SONG-<tok> (#1), KX10SONG-<tok> (top 10), KX20SONG-<tok> (top 20). Match legs by artist token suffix (e.g. -DRA, -WEE, -ARI) OR yes_sub_title. Each artist present in >=2 of the three series yields an implication edge; artist present in all three yields the full #1=>top10=>top20 chain."
regulation-win-implies-advance,NEEDS-RULE-CHECK,sports,needs-rule-check,86,medium,False,KXEFLCUPGAME-26AUG10PAEXC-...|KXEFLCUPADVANCE-26AUG10PAEXC-PA|KXCOPADOBRASILADVANCE-...,Join by game-key for cup leagues carrying both <LEAGUE>GAME (1X2) and <LEAGUE>ADVANCE (2-leg). Map GAME-<TEAM> -> ADVANCE-<TEAM> by soccer_team UUID / team code.
exact-outcome-implies-party,ONE-DIRECTIONAL,elections-politics,exact,40,high,False,KXPRESOUTCOME-28NOV07-GNEWJVAND|KXPRESPARTY-2028-D|KXTXSENOUTCOME-27JAN-TALPAX,*OUTCOME event legs. Presidential: trailing letter D/R of KXPRESOUTCOME suffix => KXPRESPARTY-<year>-<letter>. State senate: KXTXSENOUTCOME-<..>-<WINCODE><LOSECODE> maps by winner's party to base SENATE<ST>-<yy>-<D|R>; also => named winner is the party's Senate nominee and named loser is the other party's nominee. Join base party event by state + cycle.
tennis-exactscore-refines-match,ONE-DIRECTIONAL,sports,needs-rule-check,33,high,True,KXATPEXACTMATCH-26AUG03WALJBRO-WAL20|KXATPEXACTMATCH-26AUG03WALJBRO-WAL21|KXATPMATCH-26AUG03WALBRO-WAL,"Join by (date, unordered player pair) — NOTE the codes differ between series (MATCH uses last-name codes e.g. WALBRO; EXACTMATCH/SETWINNER use initial+last e.g. WALJBRO), so join on parsed player identities from title, not raw substring. For each KXATPEXACTMATCH/KXWTAEXACTMATCH leg <PLAYER><setscore> emit implication to KX*MATCH-<PLAYER>; sum same-winner legs to compare against the moneyline."
matchup-implies-both-nominees,ONE-DIRECTIONAL,elections-politics,soft(one-directional-only),32,medium,False,KXPRESMATCHUP-28NOV07-GNEWJVAN|KXPRESNOMD-28-GNEW|KXPRESNOMR-28-JVAN,*MATCHUP leg suffix decomposes into two candidate codes (GNEW|JVAN). Map each code by name to the presidential nominee events KXPRESNOMD-28 / KXPRESNOMR-28 (or KXPRESPERSON-28). Emit two implications per matchup leg.
xhorizon-deadline,NEEDS-RULE-CHECK,science-climate-companies,exact,22,high,False,KXLASTEXAM-26DEC31-T60|KXLASTEXAM-27DEC31-T60|KXEBOLACOUNTRY-OCT26-USA,"Two events under the SAME series_ticker whose markets are cumulative achievement clauses ('...before <date>' / 'reported before <date>' / 'achieves ... before <date>'), that share leg-suffix semantics (same threshold code or same subject code) and differ only in the deadline horizon encoded in the event_ticker. Scanner: for each series, find event pairs with >=2 identical leg suffixes where rules_"
nominee-slate-cardinality,ONE-DIRECTIONAL,entertainment-mentions,soft(one-directional-only),21,low,True,KXOSCARNOMACTO-27|KXOSCARNOMSUPACTR-27|KXGRAMMYNOMAOTY-69,"Within a single nominee-slate event KXOSCARNOM<CAT>-<yr> or KXGRAMMYNOM<CAT>-<n> (mutually_exclusive=False, collateral_return_type=''), sum the YES prices of all legs. The target constant is the fixed slot count per category (5 for the acting/directing categories, up to 10 for Best Picture)."
first-of-set-membership,ONE-DIRECTIONAL,science-climate-companies,exact,21,medium,True,KXFIRSTHURRICANE-26DEC01ATL-ART|KXHURRICANENAMES-26DEC01ATL-ART|KXFIRSTHURRICANE-26DEC01ATL-BER,"A 'which will be the first ...' partition event (ME=True, custom legs) paired with a 'which ... will be a ...' membership event (ME=False, same custom legs) under sibling series over the same universe+window. Scanner: match KXFIRSTHURRICANE-<window><basin>-<NAME> to KXHURRICANENAMES-<window><basin>-<NAME> on the 3-letter storm-name suffix + basin."
